"group","gene","replicate","time","log2exp"
"group1","142472_at","A",1,15.343944998038
"group1","142472_at","A",2,15.3831284136103
"group1","142472_at","A",3,15.4516418531767
"group1","142472_at","A",4,15.4487007199957
"group1","142472_at","A",5,15.4494353042799
"group1","142472_at","A",6,15.4475726614729
"group1","142472_at","A",7,15.445896571349
"group1","142472_at","A",8,15.4505902098535
"group1","142472_at","A",9,15.4467277426015
"group1","142472_at","A",10,15.4492224133765
"group1","142472_at","A",11,15.446255425789
"group1","142472_at","A",12,15.453617924522
"group1","142472_at","B",1,15.3636230691316
"group1","142472_at","B",2,15.4244207337231
"group1","142472_at","B",3,15.4356301294241
"group1","142472_at","B",4,15.448320487499
"group1","142472_at","B",5,15.4488483397554
"group1","142472_at","B",6,15.4501302341468
"group1","142472_at","B",7,15.4461521426384
"group1","142472_at","B",8,15.4440622166131
"group1","142472_at","B",9,15.4461068971482
"group1","142472_at","B",10,15.4445925218012
"group1","142472_at","B",11,15.4469875984024
"group1","142472_at","B",12,15.4442272461733
"group1","142472_at","C",1,15.4117481705752
"group1","142472_at","C",2,15.3509461493467
"group1","142472_at","C",3,15.446264629198
"group1","142472_at","C",4,15.4472597708902
"group1","142472_at","C",5,15.4469095720633
"group1","142472_at","C",6,15.4482786761801
"group1","142472_at","C",7,15.4516157813365
"group1","142472_at","C",8,15.4635452180392
"group1","142472_at","C",9,15.4554055525345
"group1","142472_at","C",10,15.4517339404476
"group1","142472_at","C",11,15.4520312431856
"group1","142472_at","C",12,15.4534545944026
"group1","142791_at","A",1,15.0161508448904
"group1","142791_at","A",2,15.0547420006095
"group1","142791_at","A",3,15.2754779853138
"group1","142791_at","A",4,15.3110030141436
"group1","142791_at","A",5,15.3117375984278
"group1","142791_at","A",6,15.3359587962267
"group1","142791_at","A",7,15.3231714761539
"group1","142791_at","A",8,15.3129444695428
"group1","142791_at","A",9,15.3240026474064
"group1","142791_at","A",10,15.3264999313888
"group1","142791_at","A",11,15.329817128046
"group1","142791_at","A",12,15.3582796610792
"group1","142791_at","B",1,15.0418522768505
"group1","142791_at","B",2,15.109745462519
"group1","142791_at","B",3,15.2496888457657
"group1","142791_at","B",4,15.2514847764074
"group1","142791_at","B",5,15.1643765223451
"group1","142791_at","B",6,15.3105010301868
"group1","142791_at","B",7,15.3084544367862
"group1","142791_at","B",8,15.3120009023447
"group1","142791_at","B",9,15.308409191296
"group1","142791_at","B",10,15.3458108786272
"group1","142791_at","B",11,15.3093418580917
"group1","142791_at","B",12,15.3098229701393
"group1","142791_at","C",1,14.8889033896048
"group1","142791_at","C",2,14.9985509914945
"group1","142791_at","C",3,15.2728910776188
"group1","142791_at","C",4,15.3095620650381
"group1","142791_at","C",5,15.3092118662112
"group1","142791_at","C",6,15.3106329358695
"group1","142791_at","C",7,15.3139700410259
"group1","142791_at","C",8,15.3543749720418
"group1","142791_at","C",9,15.3178610222271
"group1","142791_at","C",10,15.3196356676298
"group1","142791_at","C",11,15.3613931517273
"group1","142791_at","C",12,15.326612178824
"group1","142798_at","A",1,15.4482500220542
"group1","142798_at","A",2,15.4626501666362
"group1","142798_at","A",3,15.4679198801135
"group1","142798_at","A",4,15.4649787469325
"group1","142798_at","A",5,15.4657133312167
"group1","142798_at","A",6,15.4639281230791
"group1","142798_at","A",7,15.4628976261258
"group1","142798_at","A",8,15.4668682367903
"group1","142798_at","A",9,15.4630031563309
"group1","142798_at","A",10,15.4655004403133
"group1","142798_at","A",11,15.4621633781327
"group1","142798_at","A",12,15.4606640513134
"group1","142798_at","B",1,15.427197898439
"group1","142798_at","B",2,15.4607145501335
"group1","142798_at","B",3,15.4662919170676
"group1","142798_at","B",4,15.4645985144358
"group1","142798_at","B",5,15.4651263666922
"group1","142798_at","B",6,15.4664082610836
"group1","142798_at","B",7,15.4624301695752
"group1","142798_at","B",8,15.4659766351336
"group1","142798_at","B",9,15.462384924085
"group1","142798_at","B",10,15.461593576578
"group1","142798_at","B",11,15.4632656253392
"group1","142798_at","B",12,15.4605052731102
"group1","142798_at","C",1,15.4162663896297
"group1","142798_at","C",2,15.4603692042283
"group1","142798_at","C",3,15.4632682971822
"group1","142798_at","C",4,15.4635377978271
"group1","142798_at","C",5,15.4631875990001
"group1","142798_at","C",6,15.4645567031169
"group1","142798_at","C",7,15.4678938082733
"group1","142798_at","C",8,15.4635452180392
"group1","142798_at","C",9,15.4672940258735
"group1","142798_at","C",10,15.4680119673844
"group1","142798_at","C",11,15.4645567031169
"group1","142798_at","C",12,15.4656126877485
"group1","143074_at","A",1,15.4121229290498
"group1","143074_at","A",2,15.4633758076836
"group1","143074_at","A",3,15.3914294929017
"group1","143074_at","A",4,15.3353579880198
"group1","143074_at","A",5,15.3075286595803
"group1","143074_at","A",6,15.2520544803379
"group1","143074_at","A",7,15.1022078071297
"group1","143074_at","A",8,15.0387562447691
"group1","143074_at","A",9,15.2337992980687
"group1","143074_at","A",10,15.2339263892862
"group1","143074_at","A",11,15.3318331997211
"group1","143074_at","A",12,15.3535829088006
"group1","143074_at","B",1,15.3724769214595
"group1","143074_at","B",2,15.4614401911809
"group1","143074_at","B",3,15.36603832522
"group1","143074_at","B",4,15.409846661735
"group1","143074_at","B",5,15.4014253983882
"group1","143074_at","B",6,15.2581752669888
"group1","143074_at","B",7,15.3101318643036
"group1","143074_at","B",8,15.1552228458129
"group1","143074_at","B",9,15.316674366898
"group1","143074_at","B",10,15.3434136513306
"group1","143074_at","B",11,15.3336448664265
"group1","143074_at","B",12,15.3716558286173
"group1","143074_at","C",1,15.4649022675338
"group1","143074_at","C",2,15.4460269072221
"group1","143074_at","C",3,15.414712856181
"group1","143074_at","C",4,15.4039706700466
"group1","143074_at","C",5,15.3240535314904
"group1","143074_at","C",6,15.252154142357
"group1","143074_at","C",7,15.184441046393
"group1","143074_at","C",8,15.1650321837845
"group1","143074_at","C",9,15.3108313083962
"group1","143074_at","C",10,15.2939367450969
"group1","143074_at","C",11,15.3349359442043
"group1","143074_at","C",12,15.3365103215907
"group1","143143_at","A",1,15.0398528839359
"group1","143143_at","A",2,15.1040772158849
"group1","143143_at","A",3,15.322382553683
"group1","143143_at","A",4,15.3987660589626
"group1","143143_at","A",5,15.388706891886
"group1","143143_at","A",6,15.337805437121
"group1","143143_at","A",7,15.3239817388721
"group1","143143_at","A",8,15.3181256224378
"group1","143143_at","A",9,15.3174658299004
"group1","143143_at","A",10,15.3199631138828
"group1","143143_at","A",11,15.3236069385902
"group1","143143_at","A",12,15.321126661223
"group1","143143_at","B",1,14.7724742360557
"group1","143143_at","B",2,15.2838858236859
"group1","143143_at","B",3,15.2827270622529
"group1","143143_at","B",4,15.3307339581439
"group1","143143_at","B",5,15.3491118103457
"group1","143143_at","B",6,15.3113579124448
"group1","143143_at","B",7,15.3196491110947
"group1","143143_at","B",8,15.299719332359
"group1","143143_at","B",9,15.2957864293455
"group1","143143_at","B",10,15.344409817965
"group1","143143_at","B",11,15.3177282989087
"group1","143143_at","B",12,15.3149679466797
"group1","143143_at","C",1,14.9795071208268
"group1","143143_at","C",2,15.117289887838
"group1","143143_at","C",3,15.3248911333207
"group1","143143_at","C",4,15.3492899979244
"group1","143143_at","C",5,15.3431548961923
"group1","143143_at","C",6,15.3380938050387
"group1","143143_at","C",7,15.3178644164858
"group1","143143_at","C",8,15.3172822505614
"group1","143143_at","C",9,15.3217566994431
"group1","143143_at","C",10,15.3054387012357
"group1","143143_at","C",11,15.3190193766865
"group1","143143_at","C",12,15.315609221738
"group2","141311_at","A",1,8.08190515883119
"group2","141311_at","A",2,8.09488870124454
"group2","141311_at","A",3,8.27974052191201
"group2","141311_at","A",4,8.51413561384346
"group2","141311_at","A",5,8.4479920477342
"group2","141311_at","A",6,8.56018216007664
"group2","141311_at","A",7,9.07133317411945
"group2","141311_at","A",8,9.17306008745137
"group2","141311_at","A",9,9.7725221255629
"group2","141311_at","A",10,12.901102262412
"group2","141311_at","A",11,14.0518443506736
"group2","141311_at","A",12,14.2856168756428
"group2","141311_at","B",1,8.56519699069823
"group2","141311_at","B",2,8.14156831633444
"group2","141311_at","B",3,8.37624625716684
"group2","141311_at","B",4,8.24845636359225
"group2","141311_at","B",5,8.31587767119463
"group2","141311_at","B",6,8.90076977511412
"group2","141311_at","B",7,9.32351428839193
"group2","141311_at","B",8,9.52369382032178
"group2","141311_at","B",9,10.3487449829528
"group2","141311_at","B",10,11.3773459733094
"group2","141311_at","B",11,13.1959013397905
"group2","141311_at","B",12,13.8390378140139
"group2","141311_at","C",1,8.17911081067168
"group2","141311_at","C",2,8.42464904256825
"group2","141311_at","C",3,8.23550312816666
"group2","141311_at","C",4,8.37508827227096
"group2","141311_at","C",5,8.23048316833295
"group2","141311_at","C",6,8.6200975333311
"group2","141311_at","C",7,8.568079593616
"group2","141311_at","C",8,8.84457035346253
"group2","141311_at","C",9,10.5771454858735
"group2","141311_at","C",10,12.5427888206358
"group2","141311_at","C",11,13.8182319520763
"group2","141311_at","C",12,13.8738794651246
"group2","141404_at","A",1,8.86130738443586
"group2","141404_at","A",2,9.39640478532919
"group2","141404_at","A",3,9.3065043661895
"group2","141404_at","A",4,9.3539807491702
"group2","141404_at","A",5,9.47615887178325
"group2","141404_at","A",6,10.0879802427821
